VAV,Correlation_RTU_1,Correlation_RTU_2,MSE_RTU_1,MSE_RTU_2,Corr_Z_RTU_1,Corr_Z_RTU_2,MSE_Z_RTU_1,MSE_Z_RTU_2,Score_RTU_1,Score_RTU_2,Likely_Connected_To
A,-0.153,-0.198,592.1,559.93,-0.3507847072290745,-0.22627367748764513,0.3734268195988955,0.36058566399992925,-0.7242115268279701,-0.5868593414875743,Unclear
AA,-0.424,-0.517,553.39,520.53,-0.8918946522426051,-0.8711171001396625,0.29858381958747815,0.2822803017341838,-1.1904784718300832,-1.1533974018738462,Unclear
B,0.468,0.827,23.99,10.48,0.889175720274256,1.8457153764882726,-0.7249729927618971,-0.7314163993735195,1.614148713036153,2.577131775861792,RTU_2
BB,-0.115,-0.21,377.81,392.78,-0.2749095119873249,-0.2505311103146802,-0.04088747832015936,0.028384108093346374,-0.2340220336671655,-0.2789152184080266,Unclear
C,-0.319,-0.47,527.47,500.13,-0.6822395074956653,-0.7761088215671081,0.24846936440029307,0.24173640858136125,-0.9307088718959584,-1.0178452301484695,Unclear
CC,-0.592,-0.632,953.06,904.39,-1.227342883837709,-1.1035841647320825,1.0713170103537697,1.0451812245597951,-2.298659894191479,-2.148765389291878,Unclear
D,-0.552,-0.489,301.65,269.75,-1.1474742572674463,-0.814516423543247,-0.18813735899361694,-0.21613134164154377,-0.9593368982738294,-0.5983850819017033,Unclear
DD,-0.383,-0.465,866.3,825.13,-0.8100293100080858,-0.7660015578891769,0.903572792296664,0.8876562749866227,-1.7136021023047499,-1.6536578328757996,Unclear
E,-0.454,-0.583,147.66,129.95,-0.9517961221703023,-1.0045329806883556,-0.4858659451924841,-0.4939762564829455,-0.4659301769778182,-0.5105567242054101,Unclear
EE,0.562,0.899,29.14,15.88,1.0768669927143737,1.9912599734504834,-0.7150158382783321,-0.7206841923624784,1.791882830992706,2.711944165812962,RTU_2
F,-0.444,-0.432,90.69,74.13,-0.9318289655277366,-0.6992936176148302,-0.5960133414893181,-0.6049154778452276,-0.3358156240384186,-0.09437813976960263,Unclear
FF,-0.098,-0.127,1959.41,1897.3,-0.24096534569496317,-0.08275053326102058,3.017022333564563,3.0185359770288667,-3.257987679259526,-3.101286510289887,Unclear
G,0.104,0.367,34.4,21.09,0.1623712184848641,0.9158471181185924,-0.7048460067087104,-0.7103296000425663,0.8672172251935746,1.6261767181611586,RTU_2
GG,0.049,-0.023,442.47,412.81,0.05255185695075273,0.1274805512399506,0.08412797972009495,0.0681926463213384,-0.03157612276934222,0.059287904918612216,Unclear
H,-0.526,-0.592,206.93,187.56,-1.0955596499967755,-1.022726055308632,-0.37127166436900944,-0.37947950724107743,-0.724287985627766,-0.6432465480675544,Unclear
HH,-0.013,-0.337,554.2,528.38,-0.07124451423315466,-0.5072556077341355,0.3001498963120778,0.29788175081504936,-0.3713944105452324,-0.8051373585491848,Unclear
I,0.468,0.773,29.16,16.05,0.889175720274256,1.7365569287666145,-0.7149771697172308,-0.7203463265862048,1.6041528899914868,2.4569032553528194,RTU_2
II,-0.385,-0.421,379.1,348.25,-0.8140227413365989,-0.6770576375233813,-0.03839335612913043,-0.06011685083288832,-0.7756293852074685,-0.616940786690493,Unclear
J,0.513,0.893,16.05,4.08,0.9790279251658015,1.979131257036966,-0.7403244115190826,-0.7441360521273463,1.7193523366848842,2.7232673091643123,RTU_2
JJ,0.395,0.628,288.37,257.99,0.7434154767835263,1.4434462821066065,-0.213813283564829,-0.2395037035767003,0.9572287603483552,1.6829499856833068,RTU_2
K,0.427,0.797,25.11,11.12,0.8073103780397365,1.7850717944206849,-0.7228075533402285,-0.7301444340981369,1.5301179313799649,2.5152162285188218,RTU_2
KK,-0.034,-0.142,1756.42,1703.57,-0.11317554318254265,-0.11307232429481447,2.624555772667699,2.633508113279047,-2.7377313158502417,-2.7465804375738614,Unclear
L,-0.584,-0.618,136.69,119.09,-1.2113691585236563,-1.0752838264338749,-0.507075650956505,-0.515559917249595,-0.7042935075671514,-0.5597239091842798,Unclear
LL,-0.19,-0.384,87.6,82.16,-0.42466318680656767,-0.6022638863066897,-0.601987634179457,-0.5889562885306607,0.17732444737288933,-0.013307597776028968,Unclear
M,-0.55,-0.613,519.22,487.68,-1.143480825938933,-1.0651765627559435,0.23251858294603855,0.2169927090836828,-1.3759994088849716,-1.2821692718396263,Unclear
MM,0.313,-0.126,34.32,36.88,0.5796847923144874,-0.08072908052543432,-0.7050006809531153,-0.6789478317639845,1.2846854732676027,0.5982187512385502,RTU_1
N,-0.498,-0.548,331.46,304.16,-1.0396516113975913,-0.9337821349428366,-0.13050186867224392,-0.14774333363229744,-0.9091497427253474,-0.7860388013105392,Unclear
NN,-0.363,-0.342,538.24,500.27,-0.7700949967229543,-0.5173628714120668,0.2692923845533017,0.2420146509853512,-1.039387381276256,-0.759377522397418,Unclear
O,0.145,-0.265,51.99,54.53,0.2442365607193835,-0.36171101077192463,-0.6708370072201847,-0.643869414403822,0.9150735679395682,0.2821584036318973,RTU_1
OO,-0.458,-0.562,163.85,144.7,-0.9597829848273286,-0.9620824732410443,-0.454563744981044,-0.46466143177686053,-0.5052192398462846,-0.4974210414641838,Unclear
P,0.914,0.473,768.19,737.97,1.7797109065326864,1.130121108090736,0.7138841658146142,0.7144305040454456,1.0658267407180722,0.41569060404529046,RTU_1
PP,0.061,-0.163,2237.82,2185.68,0.07651244492183155,-0.155522831742126,3.555308038374139,3.5916755803333253,-3.4787955934523076,-3.747198412075451,Unclear
Q,0.848,0.335,13.7,18.37,1.6479276726917527,0.8511606305798322,-0.7448679674484764,-0.7157354524629426,2.3927956401402293,1.5668960830427747,RTU_1
QQ,0.949,0.518,11.62,14.88,1.8495959547816663,1.2210864811921178,-0.7488894978030035,-0.7226716381052638,2.59848545258467,1.9437581192973816,RTU_1
R,0.907,0.452,1328.41,1285.32,1.7657338968828904,1.0876706006434245,1.7970292308209743,1.802258931359045,-0.031295333938083925,-0.7145883307156204,RTU_1
RR,-0.03,-0.251,71.23,62.16,-0.10518868052551636,-0.333410672473717,-0.6336378514408081,-0.6287052033863691,0.5284491709152918,0.2952945309126522,Unclear
S,0.909,0.448,11.59,16.45,1.7697273282114037,1.0795847897010795,-0.7489475006446554,-0.7195513482890906,2.518674828856059,1.7991361379901702,RTU_1
SS,0.063,-0.111,63.89,53.85,0.08050587625034471,-0.0504072894916404,-0.647829213364957,-0.6452208775089159,0.7283350896153017,0.5948135880172755,Unclear
T,0.971,0.56,7.18,11.79,1.8935236993953108,1.305987496086741,-0.757473918367475,-0.7288128454504706,2.650997617762786,2.0348003415372116,RTU_1
TT,0.9,0.442,13.62,17.81,1.7517568872330944,1.067456073287562,-0.7450226416928812,-0.7168484220789024,2.4967795289259755,1.7843044953664644,RTU_1
U,-0.497,-0.675,115.15,102.77,-1.037654895733335,-1.1905066323622917,-0.5487216912625222,-0.5479950317718533,-0.4889332044708127,-0.6425116005904384,Unclear
UU,-0.328,-0.478,191.02,172.29,-0.7002099484739744,-0.7922804434517982,-0.4020325047250324,-0.4098278037334108,-0.29817744374894206,-0.38245263971838733,Unclear
V,0.558,0.337,855.65,820.8,1.0688801300573474,0.8552035360510046,0.8829817835102627,0.8790506349203617,0.1858983465470847,-0.023847098869357097,Unclear
W,-0.443,-0.452,108.73,90.9,-0.92983224986348,-0.7397226723265555,-0.5611342993760148,-0.5715860127387161,-0.36869795048746523,-0.1681366595878394,Unclear
X,-0.329,-0.527,89.65,81.69,-0.702206664138231,-0.8913316274955251,-0.5980241066665817,-0.5898903880297699,-0.10418255747164928,-0.3014412394657552,Unclear
Y,-0.251,-0.491,78.17,66.83,-0.5464628423262184,-0.8185593290144196,-0.6202198607386836,-0.6194238317675612,0.07375701841246518,-0.19913549724685842,Unclear
Z,-0.445,-0.55,767.14,729.11,-0.9338256811919932,-0.9378250404140092,0.7118540663567999,0.6968217347643667,-1.645679747548793,-1.6346467751783758,Unclear
